Date,Open,High,Low,Close,Adj Close,Volume
2020-11-17,35.639999,36.500000,35.169998,36.480000,34.837009,39010100
2020-11-18,36.790001,36.930000,35.419998,35.419998,33.824749,41000200
2020-11-19,35.169998,36.070000,34.810001,36.000000,34.378628,32936200
2020-11-20,35.910000,36.070000,35.560001,35.810001,34.197189,19753200
2020-11-23,36.369999,38.389999,36.330002,38.340000,36.613239,38162300
2020-11-24,39.630001,40.419998,39.279999,40.310001,38.494514,53466000
2020-11-25,40.049999,40.049999,39.150002,39.369999,37.596848,35676200
2020-11-27,39.150002,39.470001,38.599998,38.910000,37.157566,18755400
2020-11-30,38.480000,38.529999,36.700001,36.759998,35.104393,41543600
2020-12-01,37.779999,37.990002,36.869999,36.930000,35.266739,34467800
2020-12-02,36.810001,38.709999,36.689999,38.130001,36.412701,37741800
2020-12-03,38.299999,39.000000,37.910000,38.529999,36.794682,36487700
2020-12-04,39.230000,40.660000,39.230000,40.630001,38.800102,51850200
2020-12-07,40.150002,40.240002,39.299999,39.680000,37.892887,34656600
2020-12-08,39.189999,40.669998,39.180000,40.270000,38.456314,28927300
2020-12-09,40.680000,41.340000,39.869999,40.360001,38.542259,43345900
2020-12-10,40.410000,42.080002,40.299999,41.599998,39.726414,38802200
2020-12-11,41.320000,41.330002,40.540001,41.119999,39.268032,28076100
2020-12-14,41.750000,41.759998,39.529999,39.680000,37.892887,39942200
2020-12-15,39.900002,40.660000,39.529999,40.459999,38.637756,29335900
2020-12-16,40.560001,40.709999,39.980000,40.259998,38.446766,23814400
2020-12-17,40.619999,40.630001,39.830002,40.070000,38.265320,23181700
2020-12-18,39.990002,40.209999,39.090000,39.400002,37.625496,36570200
2020-12-21,37.410000,38.459999,37.020000,38.130001,36.899700,40079400
2020-12-22,38.049999,38.180000,37.450001,37.490002,36.280346,25092900
2020-12-23,37.810001,38.849998,37.799999,38.320000,37.083565,26965900
2020-12-24,38.369999,38.369999,37.740002,38.119999,36.890015,11451500
2020-12-28,38.259998,38.740002,37.770000,37.880001,36.657764,18912300
2020-12-29,38.110001,38.220001,37.450001,37.630001,36.415833,18984300
2020-12-30,37.660000,38.580002,37.570000,38.220001,36.986794,28218300
2020-12-31,38.049999,38.209999,37.730000,37.900002,36.677120,18154900
