"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 16, 2020","98.240","97.985","98.470","97.555","0.13K","-0.53%"
"Mar 13, 2020","98.764","97.495","98.845","97.335","17.20K","1.33%"
"Mar 12, 2020","97.464","96.620","98.335","96.055","44.99K","1.01%"
"Mar 11, 2020","96.492","96.285","96.610","95.900","37.23K","0.11%"
"Mar 10, 2020","96.389","95.375","96.580","95.180","64.64K","1.60%"
"Mar 09, 2020","94.870","95.720","95.780","94.610","102.13K","-1.11%"
"Mar 06, 2020","95.934","96.645","96.655","95.685","42.51K","-0.88%"
"Mar 05, 2020","96.790","97.345","97.410","96.490","24.40K","-0.53%"
"Mar 04, 2020","97.307","97.145","97.565","97.070","22.20K","0.19%"
"Mar 03, 2020","97.122","97.520","97.655","96.875","51.42K","-0.20%"
"Mar 02, 2020","97.319","97.985","98.045","97.135","45.68K","-0.78%"
"Feb 28, 2020","98.081","98.390","98.615","97.910","41.69K","-0.39%"
"Feb 27, 2020","98.461","98.965","98.995","98.295","28.47K","-0.48%"
"Feb 26, 2020","98.938","98.990","99.200","98.850","18.10K","0.04%"
"Feb 25, 2020","98.901","99.260","99.320","98.810","22.34K","-0.39%"
"Feb 24, 2020","99.284","99.380","99.570","99.030","23.27K","0.10%"
"Feb 21, 2020","99.188","99.765","99.790","99.140","23.26K","-0.59%"
"Feb 20, 2020","99.776","99.470","99.815","99.445","18.07K","0.18%"
"Feb 19, 2020","99.597","99.315","99.620","99.275","14.00K","0.27%"
"Feb 18, 2020","99.333","99.100","99.375","99.030","13.76K","0.33%"
"Feb 17, 2020","99.003","99.030","99.095","98.935","3.91K","0.00%"
"Feb 14, 2020","99.003","98.995","99.045","98.875","16.18K","0.05%"
"Feb 13, 2020","98.958","98.895","99.010","98.745","12.79K","0.04%"
"Feb 12, 2020","98.922","98.665","98.925","98.580","14.97K","0.33%"
"Feb 11, 2020","98.594","98.750","98.855","98.585","14.35K","-0.12%"
"Feb 10, 2020","98.714","98.570","98.770","98.490","11.20K","0.15%"
"Feb 07, 2020","98.571","98.335","98.600","98.300","13.51K","0.19%"
"Feb 06, 2020","98.381","98.180","98.445","98.075","14.24K","0.23%"
"Feb 05, 2020","98.158","97.800","98.180","97.760","18.14K","0.36%"
"Feb 04, 2020","97.809","97.645","97.855","97.635","11.60K","0.19%"
"Feb 03, 2020","97.625","97.245","97.755","97.230","18.79K","0.42%"
"Jan 31, 2020","97.213","97.685","97.790","97.165","19.45K","-0.50%"
"Jan 30, 2020","97.706","97.860","97.910","97.620","15.51K","-0.12%"
"Jan 29, 2020","97.819","97.780","98.005","97.760","10.09K","-0.02%"
"Jan 28, 2020","97.835","97.745","97.975","97.715","10.15K","0.07%"
"Jan 27, 2020","97.767","97.640","97.800","97.590","17.92K","0.12%"
"Jan 24, 2020","97.650","97.490","97.740","97.450","16.25K","0.17%"
"Jan 23, 2020","97.484","97.305","97.590","97.185","18.07K","0.19%"
