"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 12, 2013","80.163","80.415","80.590","79.990","27.87K","-0.28%"
"Feb 11, 2013","80.389","80.275","80.475","80.170","29.30K","0.09%"
"Feb 08, 2013","80.316","80.300","80.350","80.010","25.10K","0.07%"
"Feb 07, 2013","80.257","79.805","80.345","79.580","46.43K","0.61%"
"Feb 06, 2013","79.767","79.555","79.930","79.530","25.29K","0.29%"
"Feb 05, 2013","79.533","79.650","79.815","79.490","31.43K","-0.05%"
"Feb 04, 2013","79.573","79.175","79.640","79.170","27.26K","0.55%"
"Feb 01, 2013","79.135","79.140","79.325","78.915","43.79K","-0.11%"
"Jan 31, 2013","79.226","79.275","79.400","79.160","30.05K","-0.13%"
"Jan 30, 2013","79.326","79.625","79.665","79.210","35.29K","-0.37%"
"Jan 29, 2013","79.624","79.850","79.935","79.575","21.06K","-0.31%"
"Jan 28, 2013","79.868","79.840","79.995","79.785","19.55K","0.06%"
"Jan 25, 2013","79.820","80.080","80.175","79.745","28.05K","-0.23%"
"Jan 24, 2013","80.007","80.050","80.225","79.925","18.94K","0.02%"
"Jan 23, 2013","79.990","79.940","80.220","79.765","18.76K","0.02%"
"Jan 22, 2013","79.973","80.185","80.190","79.785","24.74K","-0.18%"
"Jan 21, 2013","80.116","80.160","80.185","79.995","9.90K","0.00%"
"Jan 18, 2013","80.116","79.760","80.275","79.710","26.10K","0.51%"
"Jan 17, 2013","79.711","79.800","79.950","79.615","25.25K","-0.18%"
"Jan 16, 2013","79.854","79.765","79.950","79.660","21.23K","0.03%"
"Jan 15, 2013","79.832","79.540","79.940","79.435","33.21K","0.37%"
"Jan 14, 2013","79.540","79.535","79.710","79.405","25.94K","-0.09%"
"Jan 11, 2013","79.611","79.860","79.930","79.490","30.22K","-0.26%"
"Jan 10, 2013","79.817","80.750","80.790","79.745","38.46K","-1.07%"
"Jan 09, 2013","80.677","80.510","80.750","80.450","27.72K","0.29%"
"Jan 08, 2013","80.445","80.310","80.570","80.220","15.52K","0.09%"
"Jan 07, 2013","80.369","80.610","80.800","80.335","36.59K","-0.30%"
"Jan 04, 2013","80.610","80.770","80.995","80.520","40.39K","0.12%"
"Jan 03, 2013","80.515","79.930","80.595","79.920","33.63K","0.71%"
"Jan 02, 2013","79.948","79.620","80.030","79.460","18.90K","0.10%"
"Dec 31, 2012","79.871","79.735","79.960","79.690","11.78K","0.11%"
"Dec 28, 2012","79.785","79.725","80.050","79.685","15.29K","0.08%"
"Dec 27, 2012","79.719","79.640","79.890","79.420","15.35K","0.02%"
"Dec 26, 2012","79.704","79.735","79.810","79.470","9.97K","-0.05%"
"Dec 24, 2012","79.745","79.700","79.800","79.445","8.26K","0.04%"
"Dec 21, 2012","79.712","79.375","79.735","79.340","22.72K","0.51%"
"Dec 20, 2012","79.310","79.405","79.430","79.065","21.97K","-0.00%"
"Dec 19, 2012","79.313","79.380","79.405","79.015","31.55K","-0.09%"
"Dec 18, 2012","79.387","79.620","79.650","79.290","21.58K","-0.16%"
"Dec 17, 2012","79.513","79.590","79.675","79.490","2.24K","-0.06%"
"Dec 14, 2012","79.560","79.955","79.970","79.495","13.37K","-0.44%"
"Dec 13, 2012","79.913","79.900","80.035","79.785","19.36K","0.13%"
"Dec 12, 2012","79.810","80.070","80.110","79.365","45.36K","-0.30%"
"Dec 11, 2012","80.054","80.320","80.370","80.000","17.27K","-0.34%"
